cnae_code,cnae_text,risk_tier,base_weight,sanitary_risk,fire_risk,environmental_risk,notes,source,is_active
46.74-5-00,Comércio atacadista de cimento,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.86-9-02,Comércio atacadista de embalagens,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.87-7-01,Comércio atacadista de resíduos de papel e papelão,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.87-7-03,Comércio atacadista de resíduos e sucatas metálicos,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.91-5-00,Comércio atacadista de mercadorias em geral  com predominância de produtos alimentícios,LOW,10,LOW,LOW,LOW,,bootstrap,true
46.93-1-00,Comércio atacadista de mercadorias em geral  sem predominância de alimentos ou de insumos agropecuários,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.12-1-00,Comércio varejista de mercadorias em geral  com predominância de produtos alimentícios - minimercados  mercearias e armazéns,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.13-0-02,Lojas de variedades  exceto lojas de departamentos ou magazines,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.21-1-03,Comércio varejista de laticínios e frios,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.21-1-04,Comércio varejista de doces  balas  bombons e semelhantes,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.22-9-01,Comércio varejista de carnes - açougues,MEDIUM,30,MEDIUM,LOW,LOW,,calibrated_v1,true
47.23-7-00,Comércio varejista de bebidas,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.24-5-00,Comércio varejista de hortifrutigranjeiros,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.29-6-01,Tabacaria,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.41-5-00,Comércio varejista de tintas e materiais para pintura,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.42-3-00,Comércio varejista de material elétrico,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.44-0-01,Comércio varejista de ferragens e ferramentas,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.44-0-02,Comércio varejista de madeira e artefatos,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.44-0-03,Comércio varejista de materiais hidráulicos,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.44-0-05,Comércio varejista de materiais de construção não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.44-0-06,Comércio varejista de pedras para revestimento,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.44-0-99,Comércio varejista de materiais de construção em geral,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.51-2-01,Comércio varejista especializado de equipamentos e suprimentos de informática,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.53-9-00,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.54-7-01,Comércio varejista de móveis,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.54-7-02,Comércio varejista de artigos de colchoaria,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.54-7-03,Comércio varejista de artigos de iluminação,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.55-5-03,Comercio varejista de artigos de cama  mesa e banho,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.56-3-00,Comércio varejista especializado de instrumentos musicais e acessórios,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.57-1-00,Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico  exceto informática e comunicação,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.59-8-01,Comércio varejista de artigos de tapeçaria  cortinas e persianas,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.59-8-99,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.61-0-01,Comércio varejista de livros,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.61-0-03,Comércio varejista de artigos de papelaria,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.63-6-01,Comércio varejista de brinquedos e artigos recreativos,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.63-6-04,Comércio varejista de artigos de caça  pesca e camping,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.71-7-01,Comércio varejista de produtos farmacêuticos  sem manipulação de fórmulas,MEDIUM,35,MEDIUM,LOW,LOW,,calibrated_v1,true
47.72-5-00,Comércio varejista de cosméticos  produtos de perfumaria e de higiene pessoal,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.73-3-00,Comércio varejista de artigos médicos e ortopédicos,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.74-1-00,Comércio varejista de artigos de óptica,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.81-4-00,Comércio varejista de artigos do vestuário e acessórios,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.82-2-01,Comércio varejista de calçados,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.83-1-01,Comércio varejista de artigos de joalheria,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.83-1-02,Comércio varejista de artigos de relojoaria,LOW,10,LOW,LOW,LOW,,bootstrap,true
47.84-9-00,Comércio varejista de gás liqüefeito de petróleo (GLP),HIGH,60,MEDIUM,HIGH,MEDIUM,,calibrated_v1,true
